addr,lat,lng
嘉義市北港路（竹子腳98之2）,23.479106,120.432221
嘉義市火車站前(中山路、中正路),23.4791187,120.4411382
嘉義市火車站前(球型),23.4791187,120.4411382
嘉義市金龍街214號,23.4792674,120.4690958
嘉義市大雅路、金龍街,23.4793036,120.4685021
嘉義市中山路、林森西路,23.4793088,120.4422008
嘉義市中山路、新榮路口,23.4794168,120.4441434
嘉義市北港路、德明路,23.4794291,120.4310945
嘉義市嘉雄陸橋、北港路,23.4794504,120.4315752
嘉義市中山路、西榮街,23.4794964,120.4451087
嘉義市中山路、民生北路,23.4796145,120.4462277
嘉義市啟明、公園、光彩,23.4796785,120.4629985
嘉義市中山路、文化路,23.4796988,120.4496706
嘉義市中山路、國華街,23.4798149,120.4484585
"嘉義市
友忠路、重興街口",23.4800751,120.4491113
"嘉義市
垂楊路、忠義街口",23.4800751,120.4491113
嘉義市新民路、民生南路口,23.4800751,120.4491113
嘉義市友忠路、友和路,23.4800988,120.4365348
嘉義市友忠路、友和路,23.4800988,120.4365348
嘉義市北港路、中興路,23.4802025,120.4297174
嘉義市世賢路、北港路（啟智校）,23.480225,120.4210282
嘉義市新榮路、北榮街,23.480397,120.4440161
嘉義市民生北路、北榮街,23.4805654,120.4461045
嘉義市維新路、公明路,23.4805742,120.4589425
嘉義市公明路、民國路,23.4807071,120.4601558
嘉義市忠義街、北榮街,23.4807161,120.4472827
嘉義市博愛路二段、中興路,23.4807865,120.4388759
嘉義市博愛路二段、中興路口,23.4807865,120.4388759
嘉義市國華街、北榮街,23.4808502,120.448345
嘉義市民樂街、共和路,23.4808792,120.4553094
嘉義市林森西路、新榮路口,23.4811217,120.4438503
嘉義市吳鳳北路、中山路,23.4813842,120.4528935
嘉義市友忠路、中興路,23.4816153,120.4376912
嘉義市中興路、友忠路,23.4816153,120.4376912
嘉義市中興路、友忠路口,23.4816153,120.4376912
嘉義市民生北路、民權路,23.4818714,120.445956
嘉義市中興路、八德路,23.48199,120.4310904
嘉義市民權路、國華街,23.4820503,120.4480984
嘉義市北港路、四維路,23.4820877,120.4267547
嘉義市北港路、四維路,23.4820877,120.4267547
嘉義市中山路、維新路,23.4821432,120.458821
嘉義市民權路、文化路,23.4821556,120.449118
嘉義市中興路、德明路,23.4822149,120.4318933
嘉義市中興路、德明路,23.4822149,120.4318933
嘉義市中興路、友愛路,23.4822184,120.4339245
嘉義市友愛路、中興路,23.4822184,120.4339245
嘉義市友孝、中興路,23.4825226,120.4356455
嘉義市成仁街、民權路,23.4825358,120.4512267
嘉義市安和街、安樂街,23.4826704,120.4575186
嘉義市國誠一街、國誠二街,23.4826842,120.4292485
嘉義市啟明路、中山路,23.4826893,120.463376
嘉義市維新路、安樂街,23.4828129,120.4586322
嘉義市友愛路、興雅路口,23.4829369,120.4338236
嘉義市民權路、忠孝路,23.4830274,120.4539273
嘉義市北興陸橋,23.4830525,120.4440146
嘉義市民生北路、林森西路,23.4830845,120.4458423
嘉義市民權路、共和路,23.4831852,120.454982
嘉義市長榮街、興中街,23.4833278,120.4499353
嘉義市四維路、德安路,23.4837401,120.4278534
嘉義市友竹路、雙竹路,23.4837505,120.4377841
嘉義市八德路、德安路,23.4838297,120.4307862
嘉義市林森西路地下道,23.483847,120.4477353
嘉義市德安路、德惠街,23.4839941,120.4323998
嘉義市友愛路、德安路,23.484142,120.4336908
嘉義市高鐵大道大溪路口,23.4842283,120.4128125
嘉義市泰瑞二街、泰瑞三街,23.484235,120.4259233
嘉義市五福街、民權路,23.4842419,120.4661407
嘉義市林森西路、文化路,23.4842742,120.4485987
嘉義市遠東街、友孝路,23.4845025,120.4354588
嘉義市世賢路、北港路,23.4845707,120.4223783
嘉義市北港路、世賢路,23.4845707,120.4223783
嘉義市北港路、世賢路口,23.4845707,120.4223783
嘉義市博愛路、自由路,23.4845734,120.4420057
嘉義市四維路、興達路,23.4848674,120.4277753
嘉義市興達路、四維路,23.4848674,120.4277753
嘉義市興達路、四維路,23.4848674,120.4277753
嘉義市文化路調查站,23.484902,120.4486402
嘉義市八德路、興達路,23.4851048,120.4308153
嘉義市友愛路、興達路,23.4853848,120.4335645
嘉義市友愛路、興達路,23.4853848,120.4335645
嘉義市友愛路、興達路,23.4853848,120.4335645
嘉義市長安街、五顯街,23.4854202,120.4451314
嘉義市自由路、友忠路,23.4854493,120.4408447
嘉義市興達路、建國路口,23.4856019,120.4359881
嘉義市國聖一街、八德路口,23.4856728,120.4307437
嘉義市國華街、長安街,23.4861724,120.4470008
嘉義市林森東路、林森西路,23.486345,120.4537925
嘉義市四維路、竹圍路,23.4864384,120.427405
嘉義市玉山路、大同路口,23.4865687,120.4291775
嘉義市竹圍路、八德路,23.4867087,120.4306124
嘉義市自由路、遠東街口,23.4867094,120.438524
嘉義市文化路、國華新村路口,23.4871956,120.4473942
嘉義市北港路大溪厝,23.4874484,120.4130186
嘉義市林森東路、新生路,23.4874502,120.4602081
嘉義市國揚三、四街,23.48755,120.427842
嘉義市博愛路、五顯街口,23.4876873,120.4451289
嘉義市 竹圍3路、4路口,23.4876968,120.4132813
嘉義市文華、國華街,23.4877009,120.4467115
嘉義市竹圍四路、國揚五街,23.4879104,120.4290578
嘉義市北興街、友愛路口,23.4879125,120.4340363
嘉義市興達路、保安二路,23.4887285,120.4389727
嘉義市保安二路、興達路,23.4887285,120.4389727
嘉義市林森東路、博東路,23.4888271,120.4635723
嘉義市興達路、龍江街,23.4889225,120.4412044
嘉義市四維路、世賢路,23.4890411,120.427046
嘉義市友忠路、興達路,23.4890907,120.4431111
嘉義市友忠路、興達路,23.4890907,120.4431111
嘉義市興達路、友忠路口,23.4890907,120.4431111
嘉義市北港路交流道,23.4891129,120.4067669
嘉義市北興街、北安路口,23.4891707,120.4319774
嘉義市文化路、博愛路一段,23.4892954,120.4462022
嘉義市自由路、友愛路,23.4896637,120.4355638
嘉義市自由路、友愛路,23.4896637,120.4355638
嘉義市自由路、友愛路口,23.4896637,120.4355638
嘉義市保安二路、長春一街,23.4900746,120.438814
嘉義市賢達路、北社尾路口,23.4906166,120.4201154
嘉義市新生路、博東路,23.4906881,120.4587824
嘉義市友愛路、保安二路,23.4914026,120.438649
嘉義市自由路、保安一路口,23.4918462,120.4325207
嘉義市文化路、友愛路,23.4919748,120.44507
嘉義市北港路竹子腳,23.4920031,120.3979103
嘉義市保安二路、合江街,23.4922266,120.43855
嘉義市世賢路、八德路,23.4924229,120.4296471
嘉義市世賢路、八德路,23.4924229,120.4296471
嘉義市保安一路、保安四路,23.4928288,120.4339681
嘉義市義教街、東義路,23.4928965,120.4683874
嘉義市下埤里保福宮前,23.4929137,120.4065125
嘉義市北社尾路310號前,23.4929973,120.4252162
嘉義市北社尾路385號前,23.4929973,120.4252162
嘉義市世賢路一段、自由路,23.4933038,120.4308236
嘉義市保安一路、保安二路,23.4933554,120.4384063
嘉義市台斗街193巷,23.4936347,120.451265
嘉義市保安一路、松江一街,23.4937878,120.4424083
嘉義市世賢路、忠孝路,23.4939676,120.4538439
嘉義市嘉北街、台林街,23.4939676,120.4538439
嘉義市北港路、鳥岫路口,23.4940134,120.4050926
嘉義市北社尾路、北園街,23.4944522,120.4249674
嘉義市世賢路、保安路,23.4946193,120.4382366
嘉義市保安二路、世賢路,23.4949513,120.438222
嘉義市世賢路、文化路,23.4950808,120.4437874
嘉義市世賢路、文化路口,23.4950808,120.4437874
嘉義市竹仔腳64號之2,23.49534,120.395028
嘉義市竹仔腳114號,23.49534,120.395028
嘉義市竹仔腳3-13號,23.49534,120.395028
嘉義市竹仔腳45號,23.49534,120.395028
嘉義市世賢路一段、松江一街,23.4953491,120.4422173
嘉義市台林街、新生路,23.4955781,120.4549824
嘉義市下埤里、賢達路,23.4957317,120.4113563
嘉義市保義路、保健街,23.4959715,120.4520586
嘉義市忠孝路、新生路,23.4960118,120.452356
嘉義市忠孝路、仁義新村,23.497602,120.452771
嘉義市文化路肉品市場前,23.4983204,120.4552149
嘉義市忠孝路、忠孝一街,23.5059108,120.4471974
嘉義市文化路、福隆加油站,23.5077829,120.4363819
嘉義市忠孝路、保忠三街,23.5099765,120.4455402
嘉義市忠孝路、忠孝北街,23.5160841,120.4417146
